Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Hematopoietic PBMC BTO:0001008 234 replicate01-2	132/1238	9.06386871898795e-14	8.275312140436e-11	0	0	2.19390103567319	65.8870061187041	RTCA;GIMAP1;IRS2;GHITM;IKZF1;GBA2;GIMAP8;FAM107B;CNST;UBASH3B;TBC1D10C;TRAPPC12;EPC1;FBXO7;MAP3K5;SH3GL1;SH3GLB2;TOR3A;PRKAB2;CMC1;SYTL1;PRKCA;TC2N;FBXO11;ATAD3A;LEMD2;UNC13D;HLA-E;RUNX1;BCR;SELENOO;TIAM1;BIN1;STIM2;EHBP1L1;SRSF4;RIN3;TNIK;UTRN;CCDC82;SLC27A4;ANKRD16;MYCBP2;ITPR1;MTMR9;SLC38A10;UBR2;TAPBPL;MTMR6;CDKN2AIP;MBTD1;TGOLN2;PTDSS1;NUP85;AP4S1;LTA4H;BPTF;VASP;UVRAG;TIA1;MLKL;NEK7;MYO5A;MTHFS;TRAPPC8;PHC3;ARHGAP25;QKI;ZZEF1;TBCK;PSMG4;STRN;ATM;NIT1;RGL2;CEP57;KDM5A;PHF2;SIGLEC9;SERPINA1;PPP1R11;PHF1;LMNB1;RPTOR;AKAP13;ABHD16A;IMPA2;PHACTR2;MFSD1;GPX4;MINK1;VPS13A;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;DDAH2;ITGA5;PPP1R12C;CHMP7;SELPLG;UHRF2;GOSR2;CXCR4;ASAP1;RCHY1;STRN4;CST3;ERICH1;RSBN1L;FAM177A1;RAB24;STX4;FYN;PCNT;GBP2;SLC25A24;CD72;TRAPPC10;LYSMD2;TTC39B;RAB10;SNX18;NIN;RAD50;CAMK4;CCNYL1;GALM;RTN4IP1;SMAP2;PDE7A
Hematopoietic PBMC BTO:0001008 234 replicate01-5	126/1186	4.60120019562401e-13	2.10044788930236e-10	0	0	2.17721126651428	61.8486697215108	RTCA;GIMAP1;IRS2;GHITM;IKZF1;GBA2;GIMAP8;FAM107B;CNST;UBASH3B;TBC1D10C;TRAPPC12;EPC1;FBXO7;MAP3K5;SH3GL1;SH3GLB2;PRKAB2;CMC1;PRKCA;TC2N;FBXO11;ATAD3A;LEMD2;HLA-E;RUNX1;BCR;SELENOO;TIAM1;BIN1;STIM2;EHBP1L1;SRSF4;RIN3;TNIK;UTRN;CCDC82;SLC27A4;ANKRD16;MYCBP2;ITPR1;MTMR9;SLC38A10;UBR2;TAPBPL;MTMR6;CDKN2AIP;MBTD1;TGOLN2;PTDSS1;NUP85;AP4S1;LTA4H;BPTF;VASP;UVRAG;TIA1;MLKL;MYO5A;MTHFS;PHC3;ARHGAP25;QKI;ZZEF1;TBCK;PSMG4;STRN;ATM;NIT1;RGL2;CEP57;KDM5A;PHF2;SIGLEC9;SERPINA1;PPP1R11;PHF1;LMNB1;RPTOR;AKAP13;ABHD16A;IMPA2;PHACTR2;MFSD1;GPX4;MINK1;VPS13A;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;DDAH2;ITGA5;PPP1R12C;CHMP7;SELPLG;UHRF2;GOSR2;CXCR4;ASAP1;RCHY1;STRN4;CST3;ERICH1;RSBN1L;FAM177A1;RAB24;STX4;FYN;PCNT;GBP2;SLC25A24;CD72;TRAPPC10;LYSMD2;TTC39B;RAB10;NIN;RAD50;CAMK4;CCNYL1;GALM;RTN4IP1;SMAP2;PDE7A
Hematopoietic JURKAT BTO:0000661 High coverage proteome bortezomib R3	121/1154	3.43753172884849e-12	4.79965370687056e-10	0	0	2.13773562330726	56.4282411919962	DCAF8;WDR89;WDR92;ZMIZ1;EPC1;EP300;SNIP1;CCNL2;AZI2;PDK2;CDK5RAP2;MAP2K2;USP3;ANGEL2;METTL3;SSU72;GTF3A;ARMC7;PRKCA;PRKAB1;FBXO11;KNSTRN;CDC25B;RUNX1;SHQ1;RFX7;STIM2;TRIM14;ANKRD40;DUS3L;NSMAF;INO80B;KHDRBS1;TXNDC9;ANKRD16;YTHDC2;GABARAP;MTMR6;OSGEP;MBTD1;DHX34;DVL2;DVL3;AMZ2;CEP76;NR2C2AP;BANP;BPTF;IVNS1ABP;ANKRD28;CCDC12;SLC35E1;XRCC3;FANCA;IRF2BP2;IFT122;CDC7;SUPT5H;GPN2;WDR54;MED13L;CCT6A;CDK8;POLA2;CCDC88C;HNRNPD;TCF3;RGL2;ARHGAP11A;CEP57;DAZAP1;PPP1R11;BRCA1;DDX41;BICD1;RPTOR;CHAF1A;CASP10;SNRNP70;RFK;RBM14;BRD1;NSUN6;CBFA2T2;SENP2;SENP3;MED29;PRPF18;RAD51C;AEBP2;NUP50;PEX6;POLR1D;PABPC1;VGLL4;HDAC4;GPS2;CXCR4;RNF5;RXRB;ERICH1;RNF138;RSBN1L;SAP30L;TENT2;EXOSC3;PCNT;MAP4K5;CCT4;PEX16;WWOX;DONSON;FOXJ2;DTNBP1;GATAD2B;NIN;AGGF1;ESYT2;TAF3;FRA10AC1;PNPLA2
Hematopoietic JURKAT BTO:0000661 High coverage proteome untreated R3	121/1154	3.43753172884849e-12	4.79965370687056e-10	0	0	2.13773562330726	56.4282411919962	DCAF8;WDR89;WDR92;ZMIZ1;EPC1;EP300;SNIP1;CCNL2;AZI2;PDK2;CDK5RAP2;MAP2K2;USP3;ANGEL2;METTL3;SSU72;GTF3A;ARMC7;PRKCA;PRKAB1;FBXO11;KNSTRN;CDC25B;RUNX1;SHQ1;RFX7;STIM2;TRIM14;ANKRD40;DUS3L;NSMAF;INO80B;KHDRBS1;TXNDC9;ANKRD16;YTHDC2;GABARAP;MTMR6;OSGEP;MBTD1;DHX34;DVL2;DVL3;AMZ2;CEP76;NR2C2AP;BANP;BPTF;IVNS1ABP;ANKRD28;CCDC12;SLC35E1;XRCC3;FANCA;IRF2BP2;IFT122;CDC7;SUPT5H;GPN2;WDR54;MED13L;CCT6A;CDK8;POLA2;CCDC88C;HNRNPD;TCF3;RGL2;ARHGAP11A;CEP57;DAZAP1;PPP1R11;BRCA1;DDX41;BICD1;RPTOR;CHAF1A;CASP10;SNRNP70;RFK;RBM14;BRD1;NSUN6;CBFA2T2;SENP2;SENP3;MED29;PRPF18;RAD51C;AEBP2;NUP50;PEX6;POLR1D;PABPC1;VGLL4;HDAC4;GPS2;CXCR4;RNF5;RXRB;ERICH1;RNF138;RSBN1L;SAP30L;TENT2;EXOSC3;PCNT;MAP4K5;CCT4;PEX16;WWOX;DONSON;FOXJ2;DTNBP1;GATAD2B;NIN;AGGF1;ESYT2;TAF3;FRA10AC1;PNPLA2
Hematopoietic PBMC BTO:0001008 234 replicate01-3	121/1157	4.09182220578151e-12	4.79965370687056e-10	0	0	2.13118736714242	55.8840606070341	RTCA;GIMAP1;IRS2;GHITM;IKZF1;GBA2;GIMAP8;FAM107B;CNST;UBASH3B;TBC1D10C;TRAPPC12;EPC1;FBXO7;MAP3K5;SH3GL1;SH3GLB2;PRKAB2;CMC1;PRKCA;TC2N;FBXO11;ATAD3A;LEMD2;HLA-E;RUNX1;BCR;SELENOO;TIAM1;BIN1;EHBP1L1;SRSF4;RIN3;TNIK;UTRN;CCDC82;SLC27A4;ANKRD16;MYCBP2;ITPR1;MTMR9;SLC38A10;UBR2;TAPBPL;MTMR6;CDKN2AIP;MBTD1;TGOLN2;NUP85;AP4S1;BPTF;VASP;UVRAG;TIA1;MLKL;MYO5A;MTHFS;PHC3;ARHGAP25;QKI;ZZEF1;TBCK;PSMG4;STRN;ATM;NIT1;RGL2;CEP57;KDM5A;PHF2;SIGLEC9;SERPINA1;PPP1R11;PHF1;LMNB1;RPTOR;AKAP13;ABHD16A;IMPA2;PHACTR2;MFSD1;GPX4;MINK1;VPS13A;CBFA2T2;MED29;SUMF1;APBB1IP;DDAH2;ITGA5;PPP1R12C;CHMP7;SELPLG;UHRF2;GOSR2;CXCR4;ASAP1;RCHY1;STRN4;CST3;RSBN1L;FAM177A1;RAB24;STX4;FYN;PCNT;GBP2;SLC25A24;CD72;TRAPPC10;LYSMD2;TTC39B;RAB10;NIN;RAD50;CAMK4;CCNYL1;GALM;RTN4IP1;SMAP2;PDE7A
Hematopoietic PBMC BTO:0001008 234 replicate01-4	121/1157	4.09182220578151e-12	4.79965370687056e-10	0	0	2.13118736714242	55.8840606070341	RTCA;GIMAP1;IRS2;GHITM;IKZF1;GBA2;GIMAP8;FAM107B;CNST;UBASH3B;TBC1D10C;TRAPPC12;EPC1;FBXO7;MAP3K5;SH3GL1;SH3GLB2;PRKAB2;CMC1;PRKCA;TC2N;FBXO11;ATAD3A;LEMD2;HLA-E;RUNX1;BCR;SELENOO;TIAM1;BIN1;EHBP1L1;SRSF4;RIN3;TNIK;UTRN;CCDC82;SLC27A4;ANKRD16;MYCBP2;ITPR1;MTMR9;SLC38A10;UBR2;TAPBPL;MTMR6;CDKN2AIP;MBTD1;TGOLN2;NUP85;AP4S1;BPTF;VASP;UVRAG;TIA1;MLKL;MYO5A;MTHFS;PHC3;ARHGAP25;QKI;ZZEF1;TBCK;PSMG4;STRN;ATM;NIT1;RGL2;CEP57;KDM5A;PHF2;SIGLEC9;SERPINA1;PPP1R11;PHF1;LMNB1;RPTOR;AKAP13;ABHD16A;IMPA2;PHACTR2;MFSD1;GPX4;MINK1;VPS13A;CBFA2T2;MED29;SUMF1;APBB1IP;DDAH2;ITGA5;PPP1R12C;CHMP7;SELPLG;UHRF2;GOSR2;CXCR4;ASAP1;RCHY1;STRN4;CST3;RSBN1L;FAM177A1;RAB24;STX4;FYN;PCNT;GBP2;SLC25A24;CD72;TRAPPC10;LYSMD2;TTC39B;RAB10;NIN;RAD50;CAMK4;CCNYL1;GALM;RTN4IP1;SMAP2;PDE7A
Hematopoietic PBMC BTO:0001008 234 replicate01-6	121/1157	4.09182220578151e-12	4.79965370687056e-10	0	0	2.13118736714242	55.8840606070341	RTCA;GIMAP1;IRS2;GHITM;IKZF1;GBA2;GIMAP8;FAM107B;CNST;UBASH3B;TBC1D10C;TRAPPC12;EPC1;FBXO7;MAP3K5;SH3GL1;SH3GLB2;PRKAB2;CMC1;PRKCA;TC2N;FBXO11;ATAD3A;LEMD2;HLA-E;RUNX1;BCR;SELENOO;TIAM1;BIN1;EHBP1L1;SRSF4;RIN3;TNIK;UTRN;CCDC82;SLC27A4;ANKRD16;MYCBP2;ITPR1;MTMR9;SLC38A10;UBR2;TAPBPL;MTMR6;CDKN2AIP;MBTD1;TGOLN2;NUP85;AP4S1;BPTF;VASP;UVRAG;TIA1;MLKL;MYO5A;MTHFS;PHC3;ARHGAP25;QKI;ZZEF1;TBCK;PSMG4;STRN;ATM;NIT1;RGL2;CEP57;KDM5A;PHF2;SIGLEC9;SERPINA1;PPP1R11;PHF1;LMNB1;RPTOR;AKAP13;ABHD16A;IMPA2;PHACTR2;MFSD1;GPX4;MINK1;VPS13A;CBFA2T2;MED29;SUMF1;APBB1IP;DDAH2;ITGA5;PPP1R12C;CHMP7;SELPLG;UHRF2;GOSR2;CXCR4;ASAP1;RCHY1;STRN4;CST3;RSBN1L;FAM177A1;RAB24;STX4;FYN;PCNT;GBP2;SLC25A24;CD72;TRAPPC10;LYSMD2;TTC39B;RAB10;NIN;RAD50;CAMK4;CCNYL1;GALM;RTN4IP1;SMAP2;PDE7A
Hematopoietic PBMC BTO:0001008 234 replicate01-1	121/1158	4.33561342505282e-12	4.79965370687056e-10	0	0	2.12901303457467	55.7038334430353	RTCA;GIMAP1;IRS2;GHITM;IKZF1;GBA2;GIMAP8;FAM107B;CNST;UBASH3B;TBC1D10C;TRAPPC12;EPC1;FBXO7;MAP3K5;SH3GL1;SH3GLB2;PRKAB2;CMC1;PRKCA;TC2N;FBXO11;ATAD3A;LEMD2;HLA-E;RUNX1;BCR;SELENOO;TIAM1;BIN1;EHBP1L1;SRSF4;RIN3;TNIK;UTRN;CCDC82;SLC27A4;ANKRD16;MYCBP2;ITPR1;MTMR9;SLC38A10;UBR2;TAPBPL;MTMR6;CDKN2AIP;MBTD1;TGOLN2;NUP85;AP4S1;BPTF;VASP;UVRAG;TIA1;MLKL;MYO5A;MTHFS;PHC3;ARHGAP25;QKI;ZZEF1;TBCK;PSMG4;STRN;ATM;NIT1;RGL2;CEP57;KDM5A;PHF2;SIGLEC9;SERPINA1;PPP1R11;PHF1;LMNB1;RPTOR;AKAP13;ABHD16A;IMPA2;PHACTR2;MFSD1;GPX4;MINK1;VPS13A;CBFA2T2;MED29;SUMF1;APBB1IP;DDAH2;ITGA5;PPP1R12C;CHMP7;SELPLG;UHRF2;GOSR2;CXCR4;ASAP1;RCHY1;STRN4;CST3;RSBN1L;FAM177A1;RAB24;STX4;FYN;PCNT;GBP2;SLC25A24;CD72;TRAPPC10;LYSMD2;TTC39B;RAB10;NIN;RAD50;CAMK4;CCNYL1;GALM;RTN4IP1;SMAP2;PDE7A
Hematopoietic PBMC BTO:0001008 234 replicate02-3	119/1133	4.73131252594031e-12	4.79965370687056e-10	0	0	2.1397016689889	55.796611985682	PDCD7;WIPF1;RTCA;UBE2D3;GIMAP1;ROGDI;CAAP1;IKZF1;APEH;GBA2;GIMAP8;FAM107B;RASSF2;CNST;UBASH3B;EPC1;SNIP1;SH3GL1;CAST;PRKAB2;KHNYN;SYTL1;PRKCA;ACYP2;TC2N;FBXO11;LEMD2;SCAMP3;RUNX1;BCR;BIN1;EHBP1L1;SRSF4;RIN3;UTRN;PXK;UBA7;ITPR1;MTMR9;UBR2;CDKN2AIP;TGOLN2;PTDSS1;MICAL1;SNX9;BPTF;LYN;TIA1;NEK7;MYO5A;MTHFS;TRAPPC8;TBCB;ARHGAP25;QKI;ZZEF1;SLC6A6;TBCK;TBXAS1;CNOT3;JMY;PHF14;PLEKHM2;STRN;ATM;NIT1;RGL2;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;PPCDC;AKAP13;ABHD16A;IMPA2;PHACTR2;UPF2;GPX4;ACTR5;MINK1;VPS13A;HAUS4;AXIN1;ARAP1;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;RBL2;DDAH2;ITGA5;PPP1R12C;MAPRE2;CHMP7;CXCR4;ASAP1;RCHY1;CST7;STRN4;CST3;ALOX5;STX4;FYN;PCNT;GBP2;METTL9;CBR4;CD72;TRAPPC10;NIN;CCDC9;CAMK4;CCNYL1;RTN4IP1;SMAP2;SSBP3
Hematopoietic PBMC BTO:0001008 234 replicate02-6	115/1096	1.19628449780469e-11	1.04220049106473e-09	0	0	2.13258510687841	53.6328424703464	PDCD7;WIPF1;RTCA;UBE2D3;GIMAP1;ROGDI;CAAP1;IKZF1;GBA2;GIMAP8;FAM107B;RASSF2;CNST;UBASH3B;EPC1;SNIP1;SH3GL1;CAST;PRKAB2;KHNYN;SYTL1;PRKCA;ACYP2;TC2N;FBXO11;LEMD2;SCAMP3;RUNX1;BCR;BIN1;EHBP1L1;SRSF4;RIN3;UTRN;PXK;UBA7;ITPR1;MTMR9;UBR2;CDKN2AIP;TGOLN2;PTDSS1;MICAL1;SNX9;BPTF;LYN;TIA1;NEK7;MYO5A;MTHFS;TRAPPC8;TBCB;ARHGAP25;QKI;ZZEF1;SLC6A6;TBCK;CNOT3;JMY;PHF14;PLEKHM2;STRN;ATM;NIT1;RGL2;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;PPCDC;AKAP13;ABHD16A;IMPA2;PHACTR2;UPF2;GPX4;ACTR5;MINK1;VPS13A;HAUS4;AXIN1;ARAP1;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;RBL2;DDAH2;ITGA5;PPP1R12C;CHMP7;CXCR4;ASAP1;RCHY1;CST7;STRN4;CST3;STX4;FYN;PCNT;GBP2;METTL9;CBR4;CD72;TRAPPC10;NIN;CCDC9;CAMK4;CCNYL1;RTN4IP1;SMAP2;SSBP3
Hematopoietic PBMC BTO:0001008 234 replicate02-5	115/1098	1.34364751782705e-11	1.04220049106473e-09	0	0	2.12800863408916	53.2705424491537	PDCD7;WIPF1;RTCA;UBE2D3;GIMAP1;ROGDI;CAAP1;IKZF1;GBA2;GIMAP8;FAM107B;RASSF2;CNST;UBASH3B;EPC1;SNIP1;SH3GL1;CAST;PRKAB2;KHNYN;SYTL1;PRKCA;ACYP2;TC2N;FBXO11;LEMD2;SCAMP3;RUNX1;BCR;BIN1;EHBP1L1;SRSF4;RIN3;UTRN;PXK;UBA7;ITPR1;MTMR9;UBR2;CDKN2AIP;TGOLN2;PTDSS1;MICAL1;SNX9;BPTF;LYN;TIA1;NEK7;MYO5A;MTHFS;TRAPPC8;TBCB;ARHGAP25;QKI;ZZEF1;SLC6A6;TBCK;CNOT3;JMY;PHF14;PLEKHM2;STRN;ATM;NIT1;RGL2;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;PPCDC;AKAP13;ABHD16A;IMPA2;PHACTR2;UPF2;GPX4;ACTR5;MINK1;VPS13A;HAUS4;AXIN1;ARAP1;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;RBL2;DDAH2;ITGA5;PPP1R12C;CHMP7;CXCR4;ASAP1;RCHY1;CST7;STRN4;CST3;STX4;FYN;PCNT;GBP2;METTL9;CBR4;CD72;TRAPPC10;NIN;CCDC9;CAMK4;CCNYL1;RTN4IP1;SMAP2;SSBP3
Hematopoietic PBMC BTO:0001008 234 replicate02-2	115/1100	1.50850853634565e-11	1.04220049106473e-09	0	0	2.12345074596099	52.9106902418078	PDCD7;WIPF1;RTCA;UBE2D3;GIMAP1;ROGDI;CAAP1;IKZF1;GBA2;GIMAP8;FAM107B;RASSF2;CNST;UBASH3B;EPC1;SNIP1;SH3GL1;CAST;PRKAB2;KHNYN;SYTL1;PRKCA;ACYP2;TC2N;FBXO11;LEMD2;SCAMP3;RUNX1;BCR;BIN1;EHBP1L1;SRSF4;RIN3;UTRN;PXK;UBA7;ITPR1;MTMR9;UBR2;CDKN2AIP;TGOLN2;PTDSS1;MICAL1;SNX9;BPTF;LYN;TIA1;NEK7;MYO5A;MTHFS;TRAPPC8;TBCB;ARHGAP25;QKI;ZZEF1;SLC6A6;TBCK;CNOT3;JMY;PHF14;PLEKHM2;STRN;ATM;NIT1;RGL2;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;PPCDC;AKAP13;ABHD16A;IMPA2;PHACTR2;UPF2;GPX4;ACTR5;MINK1;VPS13A;HAUS4;AXIN1;ARAP1;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;RBL2;DDAH2;ITGA5;PPP1R12C;CHMP7;CXCR4;ASAP1;RCHY1;CST7;STRN4;CST3;STX4;FYN;PCNT;GBP2;METTL9;CBR4;CD72;TRAPPC10;NIN;CCDC9;CAMK4;CCNYL1;RTN4IP1;SMAP2;SSBP3
Hematopoietic PBMC BTO:0001008 234 replicate02-1	115/1101	1.59811685376848e-11	1.04220049106473e-09	0	0	2.12117873580379	52.7316762253331	PDCD7;WIPF1;RTCA;UBE2D3;GIMAP1;ROGDI;CAAP1;IKZF1;GBA2;GIMAP8;FAM107B;RASSF2;CNST;UBASH3B;EPC1;SNIP1;SH3GL1;CAST;PRKAB2;KHNYN;SYTL1;PRKCA;ACYP2;TC2N;FBXO11;LEMD2;SCAMP3;RUNX1;BCR;BIN1;EHBP1L1;SRSF4;RIN3;UTRN;PXK;UBA7;ITPR1;MTMR9;UBR2;CDKN2AIP;TGOLN2;PTDSS1;MICAL1;SNX9;BPTF;LYN;TIA1;NEK7;MYO5A;MTHFS;TRAPPC8;TBCB;ARHGAP25;QKI;ZZEF1;SLC6A6;TBCK;CNOT3;JMY;PHF14;PLEKHM2;STRN;ATM;NIT1;RGL2;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;PPCDC;AKAP13;ABHD16A;IMPA2;PHACTR2;UPF2;GPX4;ACTR5;MINK1;VPS13A;HAUS4;AXIN1;ARAP1;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;RBL2;DDAH2;ITGA5;PPP1R12C;CHMP7;CXCR4;ASAP1;RCHY1;CST7;STRN4;CST3;STX4;FYN;PCNT;GBP2;METTL9;CBR4;CD72;TRAPPC10;NIN;CCDC9;CAMK4;CCNYL1;RTN4IP1;SMAP2;SSBP3
Hematopoietic PBMC BTO:0001008 234 replicate02-4	115/1101	1.59811685376848e-11	1.04220049106473e-09	0	0	2.12117873580379	52.7316762253331	PDCD7;WIPF1;RTCA;UBE2D3;GIMAP1;ROGDI;CAAP1;IKZF1;GBA2;GIMAP8;FAM107B;RASSF2;CNST;UBASH3B;EPC1;SNIP1;SH3GL1;CAST;PRKAB2;KHNYN;SYTL1;PRKCA;ACYP2;TC2N;FBXO11;LEMD2;SCAMP3;RUNX1;BCR;BIN1;EHBP1L1;SRSF4;RIN3;UTRN;PXK;UBA7;ITPR1;MTMR9;UBR2;CDKN2AIP;TGOLN2;PTDSS1;MICAL1;SNX9;BPTF;LYN;TIA1;NEK7;MYO5A;MTHFS;TRAPPC8;TBCB;ARHGAP25;QKI;ZZEF1;SLC6A6;TBCK;CNOT3;JMY;PHF14;PLEKHM2;STRN;ATM;NIT1;RGL2;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;PPCDC;AKAP13;ABHD16A;IMPA2;PHACTR2;UPF2;GPX4;ACTR5;MINK1;VPS13A;HAUS4;AXIN1;ARAP1;CBFA2T2;PTGR2;MED29;SUMF1;APBB1IP;RBL2;DDAH2;ITGA5;PPP1R12C;CHMP7;CXCR4;ASAP1;RCHY1;CST7;STRN4;CST3;STX4;FYN;PCNT;GBP2;METTL9;CBR4;CD72;TRAPPC10;NIN;CCDC9;CAMK4;CCNYL1;RTN4IP1;SMAP2;SSBP3
Hematopoietic PBMC BTO:0001008 234 replicate03-3	119/1170	3.82491195176758e-11	2.32809640797587e-09	0	0	2.06010391540119	49.4155077930338	PDCD7;WIPF1;RTCA;ROGDI;CAAP1;IKZF1;GIMAP8;FAM107B;IGHG4;CNST;ARL6IP5;TRAPPC12;EPC1;PIP4K2A;CAST;SH3GLB2;TPM2;SYTL1;PRKCA;TC2N;FBXO11;LEMD2;MIF4GD;SCAMP3;UNC13D;RUNX1;BCR;SELENOO;BIN1;EHBP1L1;SRSF4;UTRN;ARL8A;SLC27A4;PXK;SEH1L;UBA7;ITPR1;AK3;CDKN2AIP;OSGEP;TGOLN2;MICAL1;BLOC1S3;KDSR;LYN;TIA1;NEK7;MTHFS;TRAPPC8;TBCB;PHC3;ARHGAP25;ZZEF1;SLC6A6;TBCK;SON;TBXAS1;PHF14;STRN;ATM;NIT1;RGL2;MYD88;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;DOCK8;SLC2A6;HEBP1;AKAP13;NUDCD2;ABHD16A;IMPA2;NELFB;LRRFIP1;UBXN4;HTATIP2;SUN2;ABCC4;GPX1;GPX4;MINK1;HAUS4;CBFA2T2;DCK;SUMF1;RBL2;SLTM;DDAH2;ITGA5;PPP1R12C;MAPRE2;CHMP7;GTF2A2;ASAP1;CST7;STRN4;ALOX5;SAP30L;FAM177A1;RAB24;PDE6D;BNIP2;STX4;FYN;PCNT;GBP2;METTL9;CBR4;TRAPPC10;DTNBP1;CAMK4;CCNYL1;RTN4IP1;SMAP2
Hematopoietic PBMC BTO:0001008 234 replicate03-4	117/1158	8.61030551852502e-11	4.91325558650834e-09	0	0	2.04192013509195	47.3224715359539	PDCD7;WIPF1;RTCA;ROGDI;CAAP1;IKZF1;GIMAP8;FAM107B;IGHG4;CNST;ARL6IP5;TRAPPC12;EPC1;PIP4K2A;CAST;SH3GLB2;TPM2;SYTL1;PRKCA;TC2N;FBXO11;LEMD2;MIF4GD;SCAMP3;UNC13D;RUNX1;BCR;SELENOO;EHBP1L1;SRSF4;UTRN;ARL8A;SLC27A4;PXK;SEH1L;UBA7;ITPR1;AK3;CDKN2AIP;OSGEP;TGOLN2;MICAL1;BLOC1S3;KDSR;LYN;TIA1;NEK7;MTHFS;TRAPPC8;TBCB;PHC3;ARHGAP25;ZZEF1;SLC6A6;TBCK;SON;TBXAS1;PHF14;STRN;ATM;NIT1;RGL2;MYD88;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;DOCK8;SLC2A6;HEBP1;AKAP13;NUDCD2;ABHD16A;IMPA2;NELFB;LRRFIP1;UBXN4;HTATIP2;SUN2;ABCC4;GPX1;GPX4;MINK1;HAUS4;CBFA2T2;DCK;SUMF1;RBL2;SLTM;DDAH2;ITGA5;PPP1R12C;MAPRE2;CHMP7;GTF2A2;ASAP1;CST7;STRN4;ALOX5;SAP30L;FAM177A1;RAB24;BNIP2;STX4;FYN;PCNT;GBP2;METTL9;CBR4;TRAPPC10;DTNBP1;CAMK4;CCNYL1;RTN4IP1;SMAP2
Hematopoietic PBMC BTO:0001008 234 replicate03-1	113/1110	1.18480031432186e-10	5.40861343487929e-09	0	0	2.05585246113213	46.98913266628	PDCD7;WIPF1;RTCA;GIMAP1;ROGDI;CAAP1;IKZF1;GIMAP8;FAM107B;IGHG4;CNST;ARL6IP5;TRAPPC12;EPC1;SH3GLB2;TPM2;SYTL1;PRKCA;TC2N;FBXO11;LEMD2;MIF4GD;SCAMP3;UNC13D;RUNX1;BCR;SELENOO;EHBP1L1;SRSF4;UTRN;ARL8A;SLC27A4;PXK;SEH1L;UBA7;ITPR1;AK3;CDKN2AIP;OSGEP;TGOLN2;MICAL1;BLOC1S3;KDSR;LYN;TIA1;NEK7;TRAPPC8;TBCB;PHC3;ARHGAP25;ZZEF1;SLC6A6;TBCK;SON;TBXAS1;STRN;ATM;NIT1;RGL2;MYD88;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;DOCK8;SLC2A6;HEBP1;AKAP13;NUDCD2;ABHD16A;IMPA2;NELFB;LRRFIP1;UBXN4;HTATIP2;SUN2;ABCC4;GPX1;GPX4;MINK1;HAUS4;CBFA2T2;DCK;SUMF1;RBL2;SLTM;ITGA5;PPP1R12C;MAPRE2;CHMP7;GTF2A2;ASAP1;CST7;STRN4;ALOX5;SAP30L;FAM177A1;RAB24;BNIP2;STX4;FYN;PCNT;GBP2;METTL9;CBR4;TRAPPC10;DTNBP1;CAMK4;CCNYL1;RTN4IP1;SMAP2
Hematopoietic PBMC BTO:0001008 234 replicate03-2	113/1110	1.18480031432186e-10	5.40861343487929e-09	0	0	2.05585246113213	46.98913266628	PDCD7;WIPF1;RTCA;GIMAP1;ROGDI;CAAP1;IKZF1;GIMAP8;FAM107B;IGHG4;CNST;ARL6IP5;TRAPPC12;EPC1;SH3GLB2;TPM2;SYTL1;PRKCA;TC2N;FBXO11;LEMD2;MIF4GD;SCAMP3;UNC13D;RUNX1;BCR;SELENOO;EHBP1L1;SRSF4;UTRN;ARL8A;SLC27A4;PXK;SEH1L;UBA7;ITPR1;AK3;CDKN2AIP;OSGEP;TGOLN2;MICAL1;BLOC1S3;KDSR;LYN;TIA1;NEK7;TRAPPC8;TBCB;PHC3;ARHGAP25;ZZEF1;SLC6A6;TBCK;SON;TBXAS1;STRN;ATM;NIT1;RGL2;MYD88;CEP57;PHF2;SIGLEC9;PPP1R11;MAST3;PHF1;DOCK8;SLC2A6;HEBP1;AKAP13;NUDCD2;ABHD16A;IMPA2;NELFB;LRRFIP1;UBXN4;HTATIP2;SUN2;ABCC4;GPX1;GPX4;MINK1;HAUS4;CBFA2T2;DCK;SUMF1;RBL2;SLTM;ITGA5;PPP1R12C;MAPRE2;CHMP7;GTF2A2;ASAP1;CST7;STRN4;ALOX5;SAP30L;FAM177A1;RAB24;BNIP2;STX4;FYN;PCNT;GBP2;METTL9;CBR4;TRAPPC10;DTNBP1;CAMK4;CCNYL1;RTN4IP1;SMAP2
